"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Krakow","PL","2025-05-05 12:27:10+02",5617,0.00000,144.54448,95,46.78000,469000000,12.42335,220,38.68000,46800000
"Gdansk","PL","2025-05-05 12:37:53+02",5617,0.09000,69.44690,33,32.41000,169000000,61.40746,73,42.95000,146800000
"Katowice","PL","2025-05-05 12:38:43+02",5617,0.12900,404.73513,17,4.31000,969000000,155.47085,25,8.88000,296800000
"Szczecin","PL","2025-05-05 13:47:20+02",5617,0.00000,294.47638,25,11.52000,469000000,55.44942,149,54.76000,146800000
"Szczecin","PL","2025-05-05 13:51:04+02",5617,0.01200,319.70001,34,6.20000,469000000,52.53459,133,43.14000,146800000
"Lublin","PL","2025-05-05 17:30:04+02",5617,0.00000,42.56847,57,27.57000,69000000,18.65634,105,58.31000,46800000
"Warsaw","PL","2025-05-05 17:31:50+02",5617,0.00000,4.13669,193,141.98000,9000000,18.19483,261,166.89000,46800000
"Gdansk","PL","2025-05-05 17:46:29+02",5617,0.00000,4.48304,279,168.29000,9000000,3.20156,344,169.89000,6800000
"Szczecin","PL","2025-05-05 17:49:50+02",5617,0.00000,37.19687,78,36.51000,69000000,17.27777,88,21.12000,46800000
"Krakow","PL","2025-05-05 09:40:10+02",5617,0.00000,4.47193,875,533.99000,9000000,0.80152,2463,2119.32000,6800000
"Łaziska Górne","PL","2025-05-05 09:51:37+02",5617,0.00000,28.26099,122,85.62000,69000000,6.08690,320,261.84000,6800000
"Wroclaw","PL","2025-05-07 12:39:09+02",5617,0.00000,49.14926,12,2.33000,69000000,35.08372,12,2.65000,46800000
"Łaziska Górne","PL","2025-05-07 12:39:31+02",5617,0.00000,30.34633,56,18.78000,69000000,6.38170,281,185.38000,6800000
"Łaziska Górne","PL","2025-05-07 12:40:34+02",5617,0.00100,31.69940,59,20.28000,69000000,6.23853,212,88.42000,6800000
"Warsaw","PL","2025-05-06 16:10:50+02",5617,0.00000,16.58878,68,24.54000,69000000,26.40109,113,31.31000,46800000
"Rzeszów","PL","2025-05-06 16:16:40+02",5617,0.00000,91.06313,49,42.48000,469000000,59.92830,119,31.41000,146800000
"Rzeszów","PL","2025-05-06 16:19:28+02",5617,0.00100,182.73971,20,5.10000,469000000,62.44646,88,31.57000,146800000
"Rzeszów","PL","2025-05-06 16:21:30+02",5617,0.00000,335.68822,17,4.96000,469000000,68.14957,76,28.36000,146800000
"Rzeszów","PL","2025-05-06 16:22:47+02",5617,0.19700,347.37303,16,7.08000,469000000,66.35112,89,24.93000,146800000
"Poznan","PL","2025-05-06 16:23:44+02",5617,0.00000,20.79613,85,61.10000,69000000,33.32801,264,68.89000,46800000
"Rzeszów","PL","2025-05-06 16:23:44+02",5617,0.00000,315.99419,12,2.77000,469000000,65.18608,84,38.26000,146800000
"Warsaw","PL","2025-05-06 16:28:45+02",5617,0.00000,14.13282,131,106.76000,69000000,10.40769,58,26.52000,46800000
"Rzeszów","PL","2025-05-06 16:33:23+02",5617,0.00000,341.90024,16,5.57000,469000000,63.85684,43,19.81000,146800000
"Rzeszów","PL","2025-05-06 16:34:37+02",5617,0.00000,316.52357,12,4.70000,469000000,65.52515,74,26.92000,146800000
"Rzeszów","PL","2025-05-06 16:36:01+02",5617,0.00000,354.32388,14,3.68000,469000000,68.78972,86,30.90000,146800000
"Szczecin","PL","2025-05-05 14:14:26+02",5617,0.00000,206.09309,32,9.04000,469000000,41.56751,123,64.72000,146800000
"Bytów","PL","2025-05-05 14:19:08+02",5617,0.00000,205.29937,11,3.47000,469000000,137.90799,9,3.21000,296800000
"Szczecin","PL","2025-05-05 14:23:25+02",5617,0.38600,263.66052,28,11.43000,469000000,52.11938,124,57.54000,146800000
