"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Guatemala City","GT","2025-05-06 17:23:59+02",22869,0.0,140.30583,22,13.76,10000000,245.87156,50,56.17,1000000
"Guatemala City","GT","2025-05-06 17:36:45+02",22869,0.0,143.36061,22,18.02,25000000,189.62264,15,19.7,1000000
"Guatemala City","GT","2025-05-07 19:18:34+02",22869,0.012,39.61585,12,35.02,1000000,11.37039,12,2.83,1000000
"Guatemala City","GT","2025-05-07 19:26:54+02",23243,0.0,444.45764,9,41.05,10000000,69.58629,10,3.42,50000000
"Guatemala City","GT","2025-05-07 16:24:40+02",52286,0.0,44.98255,37,42.34,1000000,43.41253,29,1.67,1000000
"Guatemala City","GT","2025-05-07 16:47:39+02",22869,0.0,90.73007,27,9.21,1000000,30.8164,13,0.8,1000000
"Guatemala City","GT","2025-05-07 16:50:32+02",22869,0.421,90.83317,27,35.44,1000000,33.9527,13,1.82,1000000
"Guatemala City","GT","2025-05-07 16:51:31+02",22869,0.0,96.64717,26,9.77,1000000,34.19821,15,1.57,1000000
"Guatemala City","GT","2025-05-06 14:03:48+02",23243,0.0,29.83383,30,88.55,10000000,5.97769,34,115.59,100000
"Guatemala City","GT","2025-05-06 14:16:33+02",52286,0.0,2.97075,62,25.7,100000,4.39825,58,31.84,100000
"Guatemala City","GT","2025-05-06 15:53:40+02",23243,0.026,30.18161,34,39.54,10000000,5.22078,43,140.34,100000
"Guatemala City","GT","2025-05-06 23:22:10+02",14754,0.0,4.92875,434,305.39,100000,9.71836,93,15.89,1000000
"Guatemala City","GT","2025-05-07 03:27:06+02",14754,0.018,12.60558,322,356.53,1000000,4.50673,86,102.79,1000000
"Guatemala City","GT","2025-05-07 03:27:17+02",14754,0.0,19.00807,49,14.74,1000000,13.18033,72,51.68,100000
"Guatemala City","GT","2025-05-07 03:37:22+02",14754,0.0,7.89494,212,1158.05,10000000,7.88235,51,193.37,100000
"Guatemala City","GT","2025-05-07 03:43:19+02",14754,0.0,0.93444,612,1054.68,100000,4.2766,210,487.33,100000
"Guatemala City","GT","2025-05-07 03:51:08+02",14754,0.025,6.97989,141,953.11,100000,7.49301,56,73.47,1000000
"Guatemala City","GT","2025-05-07 22:55:46+02",14754,0.0,129.10433,47,10.0,1000000,72.43243,358,99.8,1000000
"Guatemala City","GT","2025-05-07 22:57:11+02",14754,0.0,121.27964,58,15.89,1000000,19.09739,80,51.58,1000000
"Guatemala City","GT","2025-05-06 00:03:41+02",14754,0.072,123.77918,37,3.22,25000000,6.79054,36,4.23,100000
"Guatemala City","GT","2025-05-06 00:59:15+02",14754,0.0,55.22698,111,53.67,1000000,11.45544,93,13.35,10000000
"Guatemala City","GT","2025-05-07 02:23:24+02",14754,0.0,119.61702,147,64.13,1000000,7.73821,363,133.13,100000
"Guatemala City","GT","2025-05-07 02:39:48+02",14754,0.0,61.98608,86,1.86,1000000,75.70622,41,25.45,1000000
"Guatemala City","GT","2025-05-07 02:45:29+02",14754,0.208,190.53312,87,9.65,1000000,64.26859,86,25.76,1000000
"Guatemala City","GT","2025-05-05 22:29:13+02",14754,0.0,113.18794,99,63.61,1000000,14.86137,97,16.84,100000
"Guatemala City","GT","2025-05-05 22:30:17+02",14754,0.0,122.73591,34,1.88,1000000,16.6805,36,1.95,100000
"Guatemala City","GT","2025-05-05 22:56:33+02",14754,0.164,3.16012,319,995.58,100000,0.30501,2019,376.67,100000
"Guatemala City","GT","2025-05-05 21:24:04+02",14754,0.0,19.57088,156,124.61,1000000,7.78466,613,145.0,10000000
"Guatemala City","GT","2025-05-06 22:11:50+02",14754,0.0,99.90507,108,64.83,1000000,13.35837,219,114.84,10000000
"Guatemala City","GT","2025-05-07 11:57:24+02",14754,0.0,84.32456,66,94.92,1000000,13.65025,41,6.36,100000
"Guatemala City","GT","2025-05-05 08:56:44+02",14754,0.001,40.012,120,64.86,1000000,18.58959,265,65.35,1000000
"Guatemala City","GT","2025-05-05 20:18:42+02",14754,0.006,135.8641,158,66.91,1000000,112.92135,78,40.61,1000000
"Guatemala City","GT","2025-05-05 18:01:16+02",14754,0.154,51.62839,77,10.54,1000000,46.36678,55,32.66,1000000
"Guatemala City","GT","2025-05-05 18:30:49+02",14754,0.0,46.33704,47,13.01,1000000,47.54583,39,84.38,1000000
"Guatemala City","GT","2025-05-05 18:34:00+02",14754,0.02,70.38157,40,8.47,1000000,58.60058,94,33.21,1000000
"Guatemala City","GT","2025-05-05 18:53:44+02",14754,0.118,14.43174,228,254.04,1000000,2.313,217,248.1,100000
"Guatemala City","GT","2025-05-06 19:02:47+02",14754,0.159,64.2763,276,97.08,1000000,10.14703,109,18.48,10000000
"Guatemala City","GT","2025-05-06 19:38:40+02",14754,0.224,82.14325,168,163.37,25000000,15.18414,107,49.23,10000000
"Guatemala City","GT","2025-05-05 12:02:50+02",14754,0.0,69.16495,54,19.9,1000000,65.20681,180,93.97,1000000
"Guatemala City","GT","2025-05-05 12:08:21+02",14754,0.0,76.79843,69,56.13,1000000,14.46043,41,6.6,100000
"Guatemala City","GT","2025-05-05 12:55:35+02",14754,0.033,59.32096,106,31.91,1000000,7.53656,94,10.78,1000000
"Quetzaltenango","GT","2025-05-06 20:41:00+02",14754,0.198,35.80491,87,36.23,1000000,9.7727,89,4.59,1000000
"Guatemala City","GT","2025-05-06 18:02:18+02",14754,0.468,122.36069,126,95.68,1000000,12.13768,45,6.2,1000000
"Guatemala City","GT","2025-05-06 18:32:36+02",14754,0.057,50.52018,86,35.42,1000000,19.70588,155,49.45,1000000
"Guatemala City","GT","2025-05-06 18:59:30+02",14754,0.103,150.4215,40,12.48,1000000,26.5961,38,38.05,1000000
"Guatemala City","GT","2025-05-07 21:09:24+02",14754,0.0,4.52311,215,307.11,100000,7.37615,187,166.81,100000
"Guatemala City","GT","2025-05-07 13:04:17+02",14754,0.0,115.977,35,15.89,1000000,15.16981,37,8.76,100000
"Guatemala City","GT","2025-05-07 13:42:28+02",14754,0.0,101.55321,419,167.59,1000000,15.1498,46,6.16,1000000
"Guatemala City","GT","2025-05-07 13:49:31+02",14754,0.147,47.71855,109,54.52,1000000,12.5625,41,9.78,100000
"Guatemala City","GT","2025-05-07 13:54:23+02",14754,0.244,8.40825,58,10.11,1000000,17.81125,59,307.16,10000000
"Guatemala City","GT","2025-05-06 17:05:42+02",14754,0.0,45.05855,43,26.48,1000000,15.03928,43,63.39,1000000
"Guatemala City","GT","2025-05-06 17:07:15+02",14754,0.0,60.99383,68,38.64,1000000,23.08355,43,5.55,1000000
"Guatemala City","GT","2025-05-06 17:08:03+02",14754,0.0,45.05849,47,9.52,1000000,18.47129,91,16.77,10000000
"Guatemala City","GT","2025-05-06 17:12:58+02",14754,0.16,62.66566,95,26.04,1000000,26.54341,43,9.18,1000000
"Guatemala City","GT","2025-05-06 17:19:47+02",14754,0.001,64.01915,108,58.11,1000000,13.79121,78,98.03,10000000
"Guatemala City","GT","2025-05-06 17:33:53+02",14754,0.0,54.03372,146,85.43,1000000,11.22215,72,57.77,10000000
"Guatemala City","GT","2025-05-06 17:52:19+02",14754,0.227,155.99241,32,38.02,1000000,141.79894,31,2.12,1000000
"Guatemala City","GT","2025-05-06 17:53:16+02",14754,0.246,190.53251,30,12.69,1000000,95.94272,29,4.39,1000000
"Guatemala City","GT","2025-05-06 17:59:36+02",14754,0.0,74.99899,39,4.51,1000000,36.05381,75,25.86,1000000
"Guatemala City","GT","2025-05-07 23:16:17+02",14754,0.0,13.75455,204,85.65,1000000,4.81437,447,222.85,1000000
"Guatemala City","GT","2025-05-07 23:23:00+02",14754,0.0,42.35244,130,92.63,1000000,8.95223,54,59.79,10000000
"Guatemala City","GT","2025-05-07 23:25:55+02",14754,0.0,14.71571,282,137.76,1000000,4.55266,463,286.15,100000
"Guatemala City","GT","2025-05-07 23:31:29+02",14754,0.0,15.1741,189,116.28,10000000,3.28163,117,32.71,100000
"Guatemala City","GT","2025-05-07 23:39:26+02",14754,0.13,10.47435,163,73.04,1000000,5.23778,413,308.91,100000
"Guatemala City","GT","2025-05-07 23:43:12+02",14754,0.487,11.24564,182,66.0,1000000,4.6415,494,244.99,1000000
"Guatemala City","GT","2025-05-07 23:45:44+02",14754,0.0,11.77198,147,65.07,10000000,4.56041,428,420.02,100000
"Guatemala City","GT","2025-05-07 23:50:35+02",14754,0.061,13.92206,167,79.85,1000000,4.62734,360,263.66,1000000
"Guatemala City","GT","2025-05-07 19:33:57+02",14754,0.0,66.704,109,43.89,1000000,12.01794,302,113.42,1000000
"Guatemala City","GT","2025-05-07 16:14:57+02",14754,0.262,57.98842,46,24.26,1000000,65.52567,300,127.68,1000000
"Guatemala City","GT","2025-05-06 14:00:05+02",14754,0.0,68.80826,51,43.61,1000000,64.57831,50,12.48,1000000
"Guatemala City","GT","2025-05-06 14:01:11+02",14754,0.0,66.19024,85,31.56,1000000,7.94466,85,0.98,100000
"Guatemala City","GT","2025-05-06 14:46:08+02",14754,0.0,65.59342,38,2.48,1000000,14.4086,90,1.02,100000
"Guatemala City","GT","2025-05-06 14:51:21+02",14754,0.159,124.64786,92,2.26,1000000,16.11222,87,3.57,100000
"Guatemala City","GT","2025-05-06 15:06:09+02",14754,0.09,67.53086,74,81.04,1000000,12.48447,79,7.32,100000
"Guatemala City","GT","2025-05-06 15:07:08+02",14754,0.269,85.95471,81,83.38,1000000,19.67695,81,6.17,10000000
"Guatemala City","GT","2025-05-06 15:09:27+02",14754,0.205,48.00476,124,94.02,1000000,18.25613,70,9.53,1000000
"Guatemala City","GT","2025-05-06 15:12:35+02",14754,0.0,19.53711,120,137.47,1000000,36.6237,105,44.9,10000000
"Guatemala City","GT","2025-05-06 15:13:04+02",14754,0.28,70.25804,748,228.16,1000000,12.62702,71,2.49,10000000
"Guatemala City","GT","2025-05-06 15:16:24+02",14754,0.0,39.28519,67,38.61,1000000,8.5305,700,167.4,1000000
"Guatemala City","GT","2025-05-06 15:24:01+02",14754,0.246,78.76366,166,49.31,1000000,18.17771,74,8.55,1000000
"Guatemala City","GT","2025-05-06 15:25:08+02",14754,0.0,86.88813,276,144.68,1000000,8.91352,76,5.85,100000
"Guatemala City","GT","2025-05-06 15:28:40+02",14754,0.11,73.75483,66,39.96,1000000,11.61682,57,7.66,1000000
"Guatemala City","GT","2025-05-06 15:34:09+02",14754,0.239,57.82085,145,81.79,1000000,12.10114,369,284.23,1000000
"Guatemala City","GT","2025-05-06 15:36:17+02",14754,0.0,39.16503,79,21.89,10000000,7.86447,573,172.53,10000000
"Guatemala City","GT","2025-05-06 15:38:54+02",14754,0.0545,59.40911,155,95.66,1000000,9.78686,110,45.81,10000000
"Guatemala City","GT","2025-05-06 15:39:09+02",14754,0.0,29.35584,71,19.44,1000000,6.99861,216,148.02,10000000
"Guatemala City","GT","2025-05-06 15:42:54+02",14754,0.0,39.28521,80,55.78,1000000,8.96521,846,112.63,1000000
"Guatemala City","GT","2025-05-06 15:45:02+02",14754,0.28,28.63113,65,42.45,1000000,6.41404,209,125.65,1000000
"Guatemala City","GT","2025-05-06 15:49:46+02",14754,0.0,25.25169,114,144.95,10000000,8.0804,78,10.3,100000
"Guatemala City","GT","2025-05-06 15:51:59+02",14754,0.081,31.9457,81,28.64,1000000,7.06571,234,252.73,10000000
"Guatemala City","GT","2025-05-06 15:55:51+02",14754,0.0,24.20135,51,13.91,10000000,7.13816,361,118.42,10000000
"Guatemala City","GT","2025-05-06 15:57:15+02",14754,0.0,35.06746,74,13.17,1000000,7.83244,168,108.41,1000000
"Guatemala City","GT","2025-05-07 18:03:54+02",14754,0.174,105.71173,504,148.01,1000000,10.02744,44,6.06,1000000
"Guatemala City","GT","2025-05-07 18:07:11+02",14754,0.314,26.29773,89,36.52,1000000,62.37393,117,38.49,1000000
"Guatemala City","GT","2025-05-07 18:18:52+02",14754,0.107,46.1766,89,73.77,1000000,7.02183,37,27.54,100000
"Guatemala City","GT","2025-05-07 18:43:01+02",14754,0.206,103.92733,92,64.71,1000000,16.109,57,18.88,1000000
"Guatemala City","GT","2025-05-07 18:45:50+02",14754,0.231,55.26515,75,91.42,1000000,17.42523,47,109.55,1000000
