"city","country_iso","test_time","asn","packet_loss_rate","download_throughput_mbps","download_latency_ms","download_jitter","download_bytes","upload_throughput_mbps","upload_latency_ms","upload_jitter","upload_bytes"
"Opole","PL","2025-05-07 08:59:44+02",5617,0.00000,813.01056,29,4.47000,100000000,4020.00000,13,1.32000,1000000
"Poznan","PL","2025-05-07 08:51:34+02",5617,0.00000,1664.93720,31,9.12000,100000000,494.46495,22,4.46000,10000000
"Warsaw","PL","2025-05-07 08:41:50+02",5617,0.19300,1.70918,566,160.78000,1000000,12.08477,607,124.98000,1000000
"Warsaw","PL","2025-05-07 08:29:02+02",5617,0.00000,1682.10457,5,2.12000,25000000,430.31471,55,18.06000,25000000
"Warsaw","PL","2025-05-07 08:27:40+02",5617,0.00000,1290.67637,7,2.99000,1000000,369.34950,42,21.35000,50000000
"Wroclaw","PL","2025-05-06 15:54:01+02",5617,0.00000,41.63322,211,39.67000,10000000,13.60867,696,231.52000,1000000
"Wroclaw","PL","2025-05-06 15:41:04+02",5617,0.00000,27.33349,161,40.43000,10000000,22.82859,305,92.63000,10000000
"Wroclaw","PL","2025-05-06 15:38:44+02",5617,0.00500,251.81064,66,12.19000,100000000,5.49255,351,137.58000,1000000
"Wroclaw","PL","2025-05-06 15:36:58+02",5617,0.00000,43.80077,190,56.60000,1000000,18.94127,593,155.89000,10000000
"Wroclaw","PL","2025-05-06 15:34:22+02",5617,0.01500,34.21294,269,93.13000,1000000,29.25977,308,49.02000,10000000
"Wroclaw","PL","2025-05-06 15:32:53+02",5617,0.00000,45.44558,201,51.62000,10000000,20.68008,469,91.05000,10000000
"Lodz","PL","2025-05-06 15:10:29+02",5617,0.12300,142.25933,108,24.28000,25000000,29.04834,164,31.85000,10000000
"Katowice","PL","2025-05-05 12:38:43+02",5617,0.12900,778.52274,32,4.31000,25000000,289.83417,36,8.88000,50000000
"Gdansk","PL","2025-05-05 12:37:53+02",5617,0.09000,93.64675,23,32.41000,10000000,93.74125,119,42.95000,25000000
"Krakow","PL","2025-05-05 12:27:10+02",5617,0.00000,314.97013,137,46.78000,10000000,17.61999,276,38.68000,10000000
"Dzikowiec","PL","2025-05-05 12:24:40+02",5617,0.00000,17.66096,132,18.92000,10000000,26.48658,428,141.55000,10000000
"Katowice","PL","2025-05-05 12:11:53+02",5617,0.00000,47.63278,77,18.63000,10000000,6.12805,175,38.07000,1000000
"Warsaw","PL","2025-05-05 12:06:22+02",5617,0.00000,365.47474,42,15.85000,10000000,102.42560,58,2.77000,25000000
"Krakow","PL","2025-05-05 12:03:54+02",5617,0.00000,300.07861,83,27.73000,25000000,46.63573,16,2.84000,1000000
"Brzeg Dolny","PL","2025-05-07 20:32:20+02",5617,0.00000,156.90892,15,7.24000,1000000,25.12500,23,27.74000,100000
"Brzeg Dolny","PL","2025-05-07 20:30:53+02",5617,0.00000,160.04791,16,3.79000,1000000,28.71429,16,2.11000,100000
"Brzeg Dolny","PL","2025-05-07 20:29:31+02",5617,0.00000,320.09724,261,57.68000,1000000,28.71429,26,11.37000,100000
"Gdynia","PL","2025-05-07 04:35:59+02",5617,0.00000,312.62305,23,4.33000,100000000,383.22212,58,25.07000,25000000
"Gdynia","PL","2025-05-07 04:35:04+02",5617,0.21000,315.49566,27,7.66000,100000000,368.09816,64,20.83000,50000000
"Łaziska Górne","PL","2025-05-05 06:04:16+02",5617,0.00000,46.71946,87,21.24000,10000000,7.53868,479,189.17000,1000000
"Krakow","PL","2025-05-06 06:55:31+02",5617,0.00500,1130.26613,31,7.56000,100000000,521.80685,15,2.02000,25000000
"Kalisz","PL","2025-05-06 06:49:23+02",5617,0.00000,529.95497,24,7.06000,1000000,332.23140,7,0.81000,1000000
"Lodz","PL","2025-05-06 06:41:09+02",5617,0.00000,252.44178,44,17.02000,1000000,284.90432,285,76.90000,25000000
"Borki","PL","2025-05-06 06:37:16+02",5617,0.00000,67.65530,94,21.66000,10000000,160.41500,282,63.40000,10000000
"Krakow","PL","2025-05-06 06:15:22+02",5617,0.00000,6.44212,NULL,0.00000,1000000,1.00087,7508,1665.99000,100000
"Krakow","PL","2025-05-06 06:13:50+02",5617,0.00000,6.98534,777,309.89000,1000000,0.95794,9254,1363.01000,100000
"Legnica","PL","2025-05-05 01:25:38+02",5617,0.00000,598.80959,26,5.57000,25000000,103.33659,87,5.74000,25000000
"Puck","PL","2025-05-07 11:56:58+02",5617,0.00000,300.37751,64,41.21000,100000000,138.62069,17,4.79000,1000000
"Lublin","PL","2025-05-07 11:38:42+02",5617,0.00000,853.25252,21,5.01000,25000000,292.02383,41,9.78000,50000000
"Lublin","PL","2025-05-07 11:37:45+02",5617,0.00000,751.71104,21,3.53000,250000000,291.26214,50,13.01000,25000000
"Szczecin","PL","2025-05-07 11:01:28+02",5617,0.00000,126.82685,169,39.12000,10000000,28.00613,148,20.49000,10000000
"Gmina Studzienice","PL","2025-05-07 06:48:02+02",5617,0.04000,12.81638,171,49.50000,10000000,1.56123,2185,1037.61000,1000000
"Wilkszyn","PL","2025-05-07 06:23:12+02",5617,0.00000,84.23288,42,30.16000,25000000,12.09023,36,6.63000,1000000
"Bytom","PL","2025-05-07 06:17:39+02",5617,0.16000,378.08307,99,25.60000,10000000,16.39311,1697,383.11000,10000000
"Łaziska Górne","PL","2025-05-07 06:02:59+02",5617,0.01690,46.48329,76,15.64000,10000000,7.54363,9686,1456.69000,1000000
"Gdansk","PL","2025-05-05 21:45:43+02",5617,0.00000,15.95222,231,57.22000,100000,25.66230,563,259.03000,1000000
"Lublin","PL","2025-05-05 21:02:40+02",5617,0.02700,52.42278,237,74.64000,10000000,45.84331,387,80.53000,10000000
"Warsaw","PL","2025-05-06 21:14:12+02",5617,0.00000,140.88532,17,2.42000,10000000,133.11258,45,10.53000,10000000
"Gdansk","PL","2025-05-07 02:13:01+02",5617,0.00000,629.13590,29,6.82000,25000000,248.37813,9,1.46000,10000000
"Bialystok","PL","2025-05-05 11:27:27+02",5617,0.00000,309.68089,36,10.37000,25000000,93.48837,15,2.05000,1000000
"Szczecin","PL","2025-05-05 11:00:44+02",5617,0.00000,42.03573,18,1.89000,10000000,39.84143,14,1.74000,10000000
"Warsaw","PL","2025-05-05 07:33:25+02",5617,0.00000,347.92847,4,0.30000,1000000,46.96536,14,9.90000,10000000
"Warsaw","PL","2025-05-06 01:37:41+02",5617,0.01200,37.54571,95,27.46000,10000000,6.16659,645,310.82000,1000000
"Lodz","PL","2025-05-07 05:54:22+02",5617,0.00000,317.16208,39,10.25000,25000000,295.32765,316,81.62000,25000000
"Szczecin","PL","2025-05-07 22:01:35+02",5617,0.00000,51.32636,125,40.07000,10000000,27.26440,135,35.93000,10000000
"Wroclaw","PL","2025-05-06 03:20:45+02",5617,0.00000,69.50686,102,38.23000,10000000,62.32558,122,10.74000,1000000
"Mrzezino","PL","2025-05-07 21:15:50+02",5617,0.00000,739.86474,26,4.14000,250000000,292.23611,36,8.63000,25000000
"Mrzezino","PL","2025-05-07 21:14:57+02",5617,0.01600,128.37123,177,67.27000,25000000,90.63240,517,118.59000,10000000
"Mrzezino","PL","2025-05-07 21:13:53+02",5617,0.00000,446.23458,45,12.71000,25000000,280.10033,57,19.27000,25000000
"Mrzezino","PL","2025-05-07 21:12:58+02",5617,0.00000,82.87827,93,22.09000,10000000,35.63830,535,251.42000,1000000
